Species_Flora_Europaea;Species_POWO;Family;Endozoochorous;Epizoochorous;Thalassochorous;Anemochorous;Myrmecochorous;Vertebrate_hoarding;Freshwater Hydrochorous;Ballochorous;Further clarification needed;Tree_or_Shrub;Synonyms;References
Medicago orbicularis;Medicago orbicularis (L.) Bartal.;Fabaceae;0;0;0;0;0;0;0;0;;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157 | Acta Plantarum - Flora delle Regioni italiane <www.actaplantarum.org>
Medicago pironae;Medicago pironae Vis.;Fabaceae;0;1;0;0;0;0;0;0;;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157
Medicago polymorpha;Medicago polymorpha L.;Fabaceae;0;1;0;0;0;0;0;0;EPI?;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157 | Acta Plantarum - Flora delle Regioni italiane <www.actaplantarum.org>
Medicago praecox;Medicago praecox DC.;Fabaceae;0;1;0;0;0;0;0;0;;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157 | Acta Plantarum - Flora delle Regioni italiane <www.actaplantarum.org>
Medicago prostrata;Medicago prostrata Jacq.;Fabaceae;0;0;0;0;0;0;0;0;;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157
Medicago rigidula;Medicago rigidula (L.) All.;Fabaceae;0;1;0;0;0;0;0;0;;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157 | Acta Plantarum - Flora delle Regioni italiane <www.actaplantarum.org>
Medicago rugosa;Medicago rugosa Desr.;Fabaceae;0;0;0;0;0;0;0;0;;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157 | Acta Plantarum - Flora delle Regioni italiane <www.actaplantarum.org>
Medicago sativa;Medicago sativa L.;Fabaceae;0;0;0;0;0;0;0;0;;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157
Medicago saxatilis;Medicago saxatilis M.Bieb.;Fabaceae;0;0;0;0;0;0;0;0;;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157
Medicago scutellata;Medicago scutellata (L.) Mill.;Fabaceae;0;1;0;0;0;0;0;0;EPI?;0;;Tutin T.G. (1968c) Medicago L. In: Tutin T.G., Heywood V.H., Burges N.A., Moore D.M., Valentine D.H., Walters S.M. & Webb D.A. (eds.) Flora Europaea (Volume 2): Alismataceae to Orchidaceae (Monocotyledones). Cambridge University Press, pp. 153-157 | Acta Plantarum - Flora delle Regioni italiane <www.actaplantarum.org>
