taxon.name,taxon.id,lat,lon,id,site,geometry,presence,chelsa_ai_1981_2010_v_2_1,chelsa_bio10,chelsa_bio6,chelsa_sfc_wind_mean_1981_2010_v_2_1,moisture,max_temp,min_temp,wind
Umbilicus rupestris,129454,43.54843,11.044525,223313081,223313081,"c(11.044525, 43.54843)",1,0.7428171038627625,22.950000000000045,0.9500000000000455,2.008,0.7428171038627625,22.950000000000045,0.9500000000000455,2.008
Umbilicus rupestris,129454,50.734055,-2.8870116667,223420153,223420153,"c(-2.8870116667, 50.734055)",1,1.4427523612976074,16.350000000000023,2.8500000000000227,5.5520000000000005,1.4427523612976074,16.350000000000023,2.8500000000000227,5.5520000000000005
Umbilicus rupestris,129454,51.1799291209,-3.508773485,223582346,223582346,"c(-3.508773485, 51.1799291209)",1,2.81721568107605,15.350000000000023,3.650000000000034,4.398,2.81721568107605,15.350000000000023,3.650000000000034,4.398
Umbilicus rupestris,129454,51.703045,-4.691805,224395587,224395587,"c(-4.691805, 51.703045)",1,NA,15.550000000000011,4.550000000000011,5.739,NA,15.550000000000011,4.550000000000011,5.739
Umbilicus rupestris,129454,51.0920833333,0.4088833333,227988515,227988515,"c(0.4088833333, 51.0920833333)",1,1.1366772651672363,16.650000000000034,1.7500000000000568,4.638,1.1366772651672363,16.650000000000034,1.7500000000000568,4.638
Umbilicus rupestris,129454,38.7100222222,-9.1340444444,228353060,228353060,"c(-9.1340444444, 38.7100222222)",1,0.8107967972755432,21.05000000000001,8.850000000000023,2.801,0.8107967972755432,21.05000000000001,8.850000000000023,2.801
Umbilicus rupestris,129454,50.1511239,-5.0063051997,229024890,229024890,"c(-5.0063051997, 50.1511239)",1,NA,16.150000000000034,4.9500000000000455,5.564,NA,16.150000000000034,4.9500000000000455,5.564
Umbilicus rupestris,129454,48.3994869043,-3.9661050215,231695547,231695547,"c(-3.9661050215, 48.3994869043)",1,2.0030744075775146,15.650000000000034,2.650000000000034,4.814,2.0030744075775146,15.650000000000034,2.650000000000034,4.814
Umbilicus rupestris,129454,51.1920955371,-3.5813387457,233369160,233369160,"c(-3.5813387457, 51.1920955371)",1,2.9671831130981445,15.450000000000045,3.9500000000000455,3.9410000000000003,2.9671831130981445,15.450000000000045,3.9500000000000455,3.9410000000000003
Umbilicus rupestris,129454,50.9785216667,-4.1761783333,234413443,234413443,"c(-4.1761783333, 50.9785216667)",1,1.7535148859024048,15.550000000000011,3.5500000000000114,4.663,1.7535148859024048,15.550000000000011,3.5500000000000114,4.663
