entity_ID,geo_entity,n_TEpis,n_AEpis,total_all,native_all,epiphyte_quotient_all,accidental_quotient_all,divergence_all
10806,New Hampshire,3,10,2097,1558,0.001430615164520744,0.004768717215069146,-0.003338102050548402
10910,Vermont,3,9,2120,1522,0.0014150943396226414,0.0042452830188679245,-0.0028301886792452833
10675,France incl. Channel Islands and Monaco excl. Corse,15,186,10688,6708,0.001403443113772455,0.01740269461077844,-0.015999251497005988
10761,Morocco,6,5,4352,4084,0.0013786764705882354,0.0011488970588235295,2.2977941176470593e-4
10656,Delaware,3,6,2177,1637,0.0013780431786862655,0.002756086357372531,-0.0013780431786862655
677,Great Britain,5,62,3629,2435,0.0013777900248002205,0.017084596307522733,-0.015706806282722512
10585,Alaska,2,4,1598,1309,0.0012515644555694619,0.0025031289111389237,-0.0012515644555694619
10799,Nova Scotia,2,4,1624,1083,0.0012315270935960591,0.0024630541871921183,-0.0012315270935960591
10917,Washington,4,41,3265,2467,0.001225114854517611,0.012557427258805513,-0.011332312404287902
10781,New Brunswick,2,2,1641,1130,0.001218769043266301,0.001218769043266301,0
10056,Switzerland,5,31,4130,3416,0.0012106537530266344,0.007506053268765133,-0.006295399515738499
10617,California,8,36,6774,5387,0.00118098612341305,0.005314437555358724,-0.004133451431945674
10703,Indiana,3,10,2610,2031,0.0011494252873563218,0.0038314176245210726,-0.0026819923371647508
10735,Libya,2,0,1750,1580,0.001142857142857143,0,0.001142857142857143
10810,New York,4,16,3551,2314,0.001126443255421008,0.004505773021684032,-0.0033793297662630243
10654,Cyprus,2,0,1786,1600,0.0011198208286674132,0,0.0011198208286674132
10769,Missouri,3,2,2707,2067,0.0011082379017362395,7.388252678241596e-4,3.694126339120799e-4
10753,Michigan,3,22,2766,1988,0.0010845986984815619,0.007953723788864787,-0.0068691250903832254
10596,Belgium incl. Luxembourg,2,57,1852,1410,0.0010799136069114472,0.030777537796976243,-0.029697624190064796
10784,North Caucasus,3,2,2793,2652,0.0010741138560687433,7.160759040458289e-4,3.5803795202291435e-4
10746,Massachusetts,3,11,2971,1915,0.0010097610232245036,0.003702457085156513,-0.0026926960619320095
10818,Ontario,3,18,3000,2011,0.001,0.006,-0.005
10701,Illinois,3,11,3042,2250,9.861932938856016e-4,0.003616042077580539,-0.0026298487836949377
10819,Oregon,4,20,4061,3144,9.849790691947797e-4,0.004924895345973898,-0.003939916276779119
10807,New Jersey,3,9,3060,2094,9.80392156862745e-4,0.0029411764705882353,-0.00196078431372549
10704,Iowa,2,0,2083,1615,9.601536245799327e-4,0,9.601536245799327e-4
10825,Pennsylvania,3,23,3299,2217,9.093664746892998e-4,0.006971809639284632,-0.006062443164595332
10716,Kansas,2,2,2225,1773,8.988764044943821e-4,8.988764044943821e-4,0
10754,Minnesota,2,4,2241,1781,8.92458723784025e-4,0.00178491744756805,-8.92458723784025e-4
10930,Yugoslavia,5,9,5671,5261,8.816787162757891e-4,0.0015870216892964204,-7.053429730206313e-4
10743,Maine,2,6,2283,1624,8.760402978537013e-4,0.002628120893561104,-0.0017520805957074027
10071,Spain mainland,6,73,6880,6217,8.720930232558139e-4,0.01061046511627907,-0.009738372093023254
10572,Albania,3,1,3496,3313,8.581235697940503e-4,2.860411899313501e-4,5.720823798627001e-4
737,"Crete, Karpathos, Kasos, Saria",2,2,2426,2254,8.244023083264633e-4,8.244023083264633e-4,0
10574,Algeria,3,0,3658,3424,8.201202843083652e-4,0,8.201202843083652e-4
10896,Turkey-in-Europe,2,0,2468,2346,8.103727714748784e-4,0,8.103727714748784e-4
10835,Québec,2,6,2469,1735,8.100445524503848e-4,0.002430133657351154,-0.0016200891049007694
10922,Wisconsin,2,18,2488,1840,8.038585209003215e-4,0.007234726688102894,-0.006430868167202572
10709,Italy excl. Sardinia and Sicily,5,37,6256,5441,7.9923273657289e-4,0.0059143222506393865,-0.005115089514066497
10808,New Mexico,3,1,3776,3337,7.944915254237289e-4,2.6483050847457627e-4,5.296610169491526e-4
10797,Norway,2,44,2534,1764,7.892659826361484e-4,0.017363851617995266,-0.01657458563535912
10839,Romania,3,1,3897,3467,7.698229407236335e-4,2.5660764690787786e-4,5.132152938157556e-4
433,Newfoundland,1,0,1300,948,7.692307692307692e-4,0,7.692307692307692e-4
10608,Bulgaria,3,0,3989,3761,7.520681875156681e-4,0,7.520681875156681e-4
739,Sardinia,2,2,2664,2418,7.507507507507507e-4,7.507507507507507e-4,0
10698,Hungary,2,5,2669,2283,7.493443237167478e-4,0.0018733608092918695,-0.0011240164855751216
10816,Oklahoma,2,1,2728,2325,7.331378299120235e-4,3.6656891495601173e-4,3.6656891495601173e-4
10589,Austria incl. Liechtenstein,2,29,2927,2659,6.832934745473181e-4,0.009907755380936112,-0.009224461906388794
10830,Poland,2,22,3084,2469,6.485084306095979e-4,0.007133592736705577,-0.006485084306095979
10567,Afghanistan,3,0,4703,4441,6.378907080586859e-4,0,6.378907080586859e-4
10726,Krym,2,0,3184,2891,6.28140703517588e-4,0,6.28140703517588e-4
10877,Sweden,4,56,6425,3753,6.22568093385214e-4,0.008715953307392997,-0.008093385214007782
10681,Germany,3,96,4819,3688,6.225357958082589e-4,0.019921145465864286,-0.019298609670056026
10844,Northwest European Russia,1,5,1621,1222,6.169031462060457e-4,0.0030845157310302285,-0.0024676125848241827
10657,Denmark,2,51,3374,1713,5.927682276229994e-4,0.015115589804386485,-0.014522821576763486
10744,Manitoba,1,0,1719,1335,5.817335660267597e-4,0,5.817335660267597e-4
10688,Greece excl. Crete and East Aegean,3,1,5207,4946,5.761474937584022e-4,1.9204916458613405e-4,3.8409832917226815e-4
10855,South Dakota,1,0,1777,1458,5.627462014631402e-4,0,5.627462014631402e-4
10786,Nebraska,1,0,1863,1472,5.367686527106817e-4,0,5.367686527106817e-4
10842,North European Russia,1,1,1887,1625,5.299417064122947e-4,5.299417064122947e-4,0
10599,Belarus,1,2,2139,1637,4.675081813931744e-4,9.350163627863488e-4,-4.675081813931744e-4
10841,East European Russia,1,0,2146,1842,4.6598322460391424e-4,0,4.6598322460391424e-4
10840,Central European Russia,1,2,2233,1814,4.478280340349306e-4,8.956560680698612e-4,-4.478280340349306e-4
10788,Netherlands,1,79,2354,1874,4.248088360237893e-4,0.033559898045879354,-0.03313508920985556
10897,Tunisia,1,0,2450,2310,4.0816326530612246e-4,0,4.0816326530612246e-4
10672,Finland,1,4,2479,1876,4.033884630899556e-4,0.0016135538523598225,-0.0012101653892698668
1041,East Aegean Islands,1,2,2670,2531,3.745318352059925e-4,7.49063670411985e-4,-3.745318352059925e-4
10821,Palestine,1,0,2804,2585,3.566333808844508e-4,0,3.566333808844508e-4
10700,Idaho,1,11,2863,2381,3.4928396786587494e-4,0.0038421236465246244,-0.0034928396786587496
10639,Colorado,1,1,3098,2642,3.2278889606197545e-4,3.2278889606197545e-4,0
10906,Utah,1,0,3365,2841,2.9717682020802375e-4,0,2.9717682020802375e-4
10734,Lebanon-Syria,1,0,3438,3283,2.9086678301337986e-4,0,2.9086678301337986e-4
393,Juan Fernandez Islands,0,0,490,303,0,0,0
417,Savage Islands,0,0,110,93,0,0,0
10036,Gabon,0,0,6485,5218,0,0,0
10055,"Kamchatka, Russian Federation",0,0,1206,NA,0,0,0
10431,Mongolia,0,0,2588,NA,0,0,0
10566,Alberta,0,0,1911,1570,0,0,0
10600,Baltic States,0,8,869,790,0,0.009205983889528193,-0.009205983889528193
10610,Brazil West-Central,0,0,9573,9290,0,0,0
10611,Brazil Northeast,0,0,11039,10694,0,0,0
10613,Brazil North,0,0,12706,12462,0,0,0
10664,Egypt without Sinai,0,0,1832,1649,0,0,0
10731,Labrador,0,0,826,729,0,0,0
10758,Montana,0,11,2709,2204,0,0.004060538944259874,-0.004060538944259874
10785,North Dakota,0,0,1477,1155,0,0,0
10789,Nevada,0,0,3165,2818,0,0,0
10803,Nunavut,0,0,530,512,0,0,0
10809,Northwest Territories,0,0,1124,1010,0,0,0
10843,South European Russia,0,0,1962,1717,0,0,0
10849,Saskatchewan,0,0,1558,1213,0,0,0
10860,Sicilia incl. Pantelleria and Malta,0,5,2091,1972,0,0.0023912003825920613,-0.0023912003825920613
10862,Sinai,0,0,1267,1193,0,0,0
10875,Svalbard,0,0,226,208,0,0,0
10919,District of Columbia,0,0,1829,1310,0,0,0
10926,Wyoming,0,0,2611,2233,0,0,0
10929,Yemen,0,0,2720,2499,0,0,0
10931,Yukon,0,0,1167,1029,0,0,0
130,Heard and McDonald Islands,0,0,13,12,0,0,0
1047,Lesser Sunda Islands,0,0,1478,1478,0,0,0
1050,Maluku,0,0,2581,2581,0,0,0
1066,Sumatra,0,0,2905,2905,0,0,0
10579,"Angola, excl. Cabinda",0,0,1529,1529,0,0,0
10616,Central African Republic,0,0,2498,2498,0,0,0
10619,Cambodia,0,0,2589,2589,0,0,0
10641,Congo,0,0,2602,2602,0,0,0
10658,Djibouti,0,0,130,130,0,0,0
10668,Eritrea,0,0,511,511,0,0,0
10669,Ethiopia,0,0,4280,4280,0,0,0
10770,Mauritania,0,0,112,112,0,0,0
10778,Myanmar,0,0,6901,6901,0,0,0
10792,Nigeria,0,0,3078,3078,0,0,0
10793,Niger,0,0,540,540,0,0,0
10845,Rwanda,0,0,1500,1500,0,0,0
10866,Somalia,0,0,1295,1295,0,0,0
10871,Sudan,0,0,505,505,0,0,0
10890,Togo,0,0,1478,1478,0,0,0
10903,Uganda,0,0,2382,2382,0,0,0
10923,Western Sahara,0,0,46,46,0,0,0
296,Bahama Archipelago,53,0,NA,NA,NA,NA,NA
303,Cuba,305,0,NA,NA,NA,NA,NA
315,Jamaica,390,0,NA,NA,NA,NA,NA
577,Gilbert Islands,0,0,NA,NA,NA,NA,NA
578,Wallis and Futuna,0,0,NA,NA,NA,NA,NA
676,Bonin Islands,8,0,NA,NA,NA,NA,NA
726,Fiji,231,0,NA,NA,NA,NA,NA
1034,Bismarck Archipelago,0,0,NA,NA,NA,NA,NA
1037,Cook Islands,0,0,NA,NA,NA,NA,NA
1038,Central American Pacific Islands,0,0,NA,NA,NA,NA,NA
1039,Caroline Islands,0,0,NA,NA,NA,NA,NA
1040,Cape Verde,0,0,NA,NA,NA,NA,NA
1042,Gulf of Guinea Islands,0,0,NA,NA,NA,NA,NA
1046,Leeward Islands,0,0,NA,NA,NA,NA,NA
1051,Marianas,0,0,NA,NA,NA,NA,NA
1052,Marquesas,0,0,NA,NA,NA,NA,NA
1053,Mexican Pacific Islands,0,0,NA,NA,NA,NA,NA
1055,Ryukyu,0,0,NA,NA,NA,NA,NA
1056,New Guinea,0,0,NA,NA,NA,NA,NA
1060,Samoa,0,0,NA,NA,NA,NA,NA
1061,Santa Cruz Islands,0,0,NA,NA,NA,NA,NA
1062,Seychelles,0,0,NA,NA,NA,NA,NA
1063,Solomon Islands,0,0,NA,NA,NA,NA,NA
1067,Turks and Caicos Islands,0,0,NA,NA,NA,NA,NA
1068,Tokelau Manihiki,0,0,NA,NA,NA,NA,NA
1070,Tuamotu,0,0,NA,NA,NA,NA,NA
1072,Windward Islands,0,0,NA,NA,NA,NA,NA
1222,"South Island incl. Steward, New Zealand",0,0,NA,NA,NA,NA,NA
10421,Kuwait,0,0,NA,NA,NA,NA,NA
10568,Argentina Northeast,0,0,NA,NA,NA,NA,NA
10569,Argentina South,0,0,NA,NA,NA,NA,NA
10570,Argentina Northwest,0,0,NA,NA,NA,NA,NA
