taxon_name,genus_name,tree_sp,epi_count,epi_lat,epi_lon,dbh,taxon_rank,family,setting,species,mode_key,mode_label,n_modes,source,dispersal_agent_summary
Magnoliopsida,,,1,51.1116944444,2.7247944444,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Acer,1,51.2207194444,2.9230055556,0.6,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Acer,1,51.2204972222,2.9225222222,0.7,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,52.4358555556,4.7143638889,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Prunus?,1,51.5795972222,3.6576388889,0.13,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Salix,1,52.1594472222,4.5318444444,0.18,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Salix,2,52.1592361111,4.5309972222,0.4,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Salix,5,52.1589277778,4.5306111111,0.46,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Salix,1,52.1588527778,4.5304416667,0.48,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Salix,4,52.1588694444,4.5304833333,NA,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Salix,1,52.1588055556,4.5304083333,0.41,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Salix,1,52.1588166667,4.5304083333,0.41,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Salix,1,52.158825,4.5303944444,0.37,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Salix,1,52.1262777778,4.4634722222,0.39,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Salix,1,52.12625,4.4635027778,0.39,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Salix,1,52.1263472222,4.4635916667,0.43,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Salix,1,52.1264305556,4.4636916667,0.7,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Salix,1,52.1264305556,4.4637027778,0.7,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Salix,2,52.12695,4.4644111111,0.55,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Quercus,1,52.1313333333,4.3354222222,1.4,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Acer?,2,52.47852,5.4241416667,1,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,-38.4302133333,145.51642,0.6,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,2,-39.01493055,146.340575,0.6,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,-39.01451945,146.3399966667,1,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Malus domestica,1,54.4015072997,18.4580121127,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Phoenix,1,32.7415361111,-16.7027666667,NA,class,,Optional,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Acer platanoides,1,53.1205188803,8.2238322956,0.5,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Acer,1,41.8321733,-86.6249650997,0.6,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Quercus,1,40.3846443997,-82.4135722997,1.5,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Platanus occidentalis,1,40.3844256,-82.4128685997,0.25,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Platanus occidentalis,1,40.3873614997,-82.4160358997,0.25,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Prunus,1,34.9955972222,135.7841416667,0.5,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,35.0231916667,135.7605083333,NA,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Pinus,1,35.0137833333,135.7482777778,0.25,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Robinia pseudoacacia,1,53.142693,8.2174841997,0.55,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Cryptomeria,1,36.7566888889,139.599275,0.7,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Quercus crispula,1,36.8094722222,139.4251138889,NA,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,36.7208888889,139.4944194444,NA,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,35.6858111111,139.7545444444,NA,class,,Optional,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Gingko biloba,1,35.6754472222,139.7576166667,0.6,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,35.71415,139.7723555556,NA,class,,Optional,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,35.7126444444,139.7735138889,NA,class,,Optional,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Quercus robur,2,53.184947,8.221895,0.8,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Acer saccharinum,2,53.1400324997,8.1991034,1.1,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Liriodendron tulipifera,1,53.2624254997,7.9317807,1.1,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Quercus,1,53.153633,8.166126,0.3,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Tilia sp.,1,53.1770740997,8.1888272997,0.7,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Acer platanoides,1,53.1413833333,8.1637944444,0.25,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Phoenix dactylifera,1,33.4697283333,-111.98482,NA,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Fraxinus,1,53.1917333333,8.43095,0.45,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Acer pseudoplatanus,1,53.1403416667,8.2185305556,0.4,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,0.30399348,-78.07925594,NA,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,spitzahorn,3,51.1581415142,7.2307805159,0.6,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Eucalyptus,1,-42.0208,146.2708472222,1,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Tilia sp.,1,53.1559494997,8.2125585,0.5,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Fraxinus,1,47.109211,11.810459,0.8,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Quercus robur,5,53.150518,8.166211,0.9,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,47.0417298848,15.3837383911,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,21.61,101.57,0.5,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,liana,1,21.922795,101.252271,0.15,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,21.61,101.57,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,21.9236809722,101.273409,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,21.9236809722,101.273409,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,21.9273029722,101.2645859722,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,21.61,101.57,0.5,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Pouteria campechiana,1,21.930336,101.255677,0.2,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,palm,1,21.928626,101.260957,0.3,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Fagus sylvatica,1,53.2240353997,8.1293939997,1.1,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Fagus sylvatica,1,53.2270168,8.1130200997,0.6,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Fraxinus,1,46.307656,-0.6045439722,NA,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Platanus,1,48.31567005,2.69454325,NA,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Tilia,1,53.389183,7.950686,0.45,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Acer pseudoplatanus,1,47.467338453000004,11.1394193634,0.8,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Acer pseudoplatanus,1,47.46268,11.128206,0.8,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Acer platanoides,3,47.71285,11.159231,0.8,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Aesculus,1,47.6668549722,11.1361209722,0.5,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Fraxinus,1,53.1687210757,8.4272757545,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Acer platanoides,1,53.1394879279,8.1968418136,0.5,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Quercus,1,53.0645969722,8.1908379722,0.9,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Palm,1,41.6555132259,41.6404195502,NA,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Tilia,1,49.7662899722,11.415478,0.5,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Tilia,1,49.7671109722,11.4142499722,0.5,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Tilia,1,49.75164,11.442329,0.8,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Tilia,1,49.751567,11.442541,0.7,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Tilia,1,49.765996,11.409734,0.8,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,9.2811722222,-79.9745416667,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,49.7687079722,11.40989,NA,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Salix,1,53.183934,8.2650319722,0.6,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Separate observation,1,9.1161416667,-79.7009966667,0.7,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Liana,1,9.324263,-79.961995,NA,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,see photo,1,8.9608710193,-79.5543270931,0.6,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,see photo,1,8.7392706745,-82.2502022641,0.7,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Pseudotsuga menziesii,1,49.3048194444,-123.1351555556,NA,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Quercus robur,1,53.5934830014,10.9483370287,1.5,class,,Rural,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Phoenix,1,-36.8703315335,174.9118417126,NA,class,,Urban,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,Eucalyptus obliqua,1,-42.9005513833,147.2725813833,NA,class,,Optional,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,-41.2194026,174.8777023,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,40.7842025943,-124.1733856385,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,28.491345,-80.88318667,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,39.3133333333,-76.8502777778,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,widow maker,1,-39.1955871051,173.8782283888,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Magnoliopsida,,,1,22.3464283333,103.7743533333,NA,class,,,Magnoliopsida,NA,NA,NA,NA,NA
Angiospermae,,Aesculus hippocastanum,1,42.8209444444,-1.6425861111,0.6,subphylum,,Urban,Angiospermae,NA,NA,NA,NA,NA
Angiospermae,,Tilia,1,49.6322611111,-1.6161888889,0.35,subphylum,,Urban,Angiospermae,NA,NA,NA,NA,NA
Angiospermae,,,1,60.6926421944,5.1110100556,NA,subphylum,,,Angiospermae,NA,NA,NA,NA,NA
Angiospermae,,,1,10.4255571,-84.7355444,NA,subphylum,,,Angiospermae,NA,NA,NA,NA,NA
Angiospermae,,Prunus,1,35.0148472222,135.74995,0.8,subphylum,,Urban,Angiospermae,NA,NA,NA,NA,NA
Angiospermae,,Coccoloba uvifera,1,8.6294694444,-83.1574305556,NA,subphylum,,Urban,Angiospermae,NA,NA,NA,NA,NA
Angiospermae,,Palm,1,21.9276769722,101.2641749722,0.4,subphylum,,Urban,Angiospermae,NA,NA,NA,NA,NA
Angiospermae,,Aesculus hippocastaneum,1,60.4017752292,5.3249359604,0.4,subphylum,,Urban,Angiospermae,NA,NA,NA,NA,NA
Angiospermae,,,1,41.4142769444,2.1527402778,0.3,subphylum,,Urban,Angiospermae,NA,NA,NA,NA,NA
Angiospermae,,Alsophila dealbata,1,-36.793824181,174.732412601,NA,subphylum,,,Angiospermae,NA,NA,NA,NA,NA
Angiospermae,,Phoenix canariensis,1,-35.5874221993,146.7773876844,NA,subphylum,,Urban,Angiospermae,NA,NA,NA,NA,NA
Angiospermae,,Cactus,1,19.281494,-99.042051,NA,subphylum,,,Angiospermae,NA,NA,NA,NA,NA
Angiospermae,,totara,1,-36.7939030343,174.7321267536,NA,subphylum,,,Angiospermae,NA,NA,NA,NA,NA
Angiospermae,,Phoenix canariensis,1,19.339981,-99.189033,NA,subphylum,,Urban,Angiospermae,NA,NA,NA,NA,NA
Angiospermae,,,1,19.338927,-99.189714,NA,subphylum,,,Angiospermae,NA,NA,NA,NA,NA
Plantae,,,1,-43.5259111111,172.6530555556,NA,kingdom,,,Plantae,NA,NA,NA,NA,NA
Plantae,,,1,51.08785,2.5906916667,NA,kingdom,,,Plantae,NA,NA,NA,NA,NA
Plantae,,,1,51.6398305865,-0.1570698246,NA,kingdom,,,Plantae,NA,NA,NA,NA,NA
Plantae,,likely Quercus,1,52.9341365,8.3731112997,1,kingdom,,Rural,Plantae,NA,NA,NA,NA,NA
Plantae,,Salix alba,1,54.0735111997,9.8938521,0.5,kingdom,,Urban,Plantae,NA,NA,NA,NA,NA
Plantae,,,1,-36.8830372279,175.1851857081,NA,kingdom,,,Plantae,NA,NA,NA,NA,NA
Plantae,,Platanus × acerifolia,1,-36.8491920008,174.7727113971,NA,kingdom,,Urban,Plantae,NA,NA,NA,NA,NA
Ribes,Ribes,,1,51.1343805556,2.7368777778,NA,genus,Grossulariaceae,,Ribes,endozoochorous,Endozoochorous,1,TRY_GenusFill,animal
Ribes,Ribes,,1,50.9103138889,3.5893555556,NA,genus,Grossulariaceae,,Ribes,endozoochorous,Endozoochorous,1,TRY_GenusFill,animal
Ribes,Ribes,,1,62.4392166111,6.1869768889,NA,genus,Grossulariaceae,,Ribes,endozoochorous,Endozoochorous,1,TRY_GenusFill,animal
Ribes,Ribes,,1,57.837544,11.702063,NA,genus,Grossulariaceae,,Ribes,endozoochorous,Endozoochorous,1,TRY_GenusFill,animal
Ribes,Ribes,Quercus robur,3,53.121184554,8.1563613646,0.95,genus,Grossulariaceae,Rural,Ribes,endozoochorous,Endozoochorous,1,TRY_GenusFill,animal
Ribes,Ribes,Fagus sylvatica,1,53.159634,8.163097,1.2,genus,Grossulariaceae,Urban,Ribes,endozoochorous,Endozoochorous,1,TRY_GenusFill,animal
Ribes,Ribes,Acer pseudoplatanus,1,53.5413444444,7.9320055556,0.3,genus,Grossulariaceae,Urban,Ribes,endozoochorous,Endozoochorous,1,TRY_GenusFill,animal
Ribes,Ribes,Quercus,1,53.1844527778,8.1388083333,0.5,genus,Grossulariaceae,Rural,Ribes,endozoochorous,Endozoochorous,1,TRY_GenusFill,animal
Ribes,Ribes,Tilia,1,51.8066666667,10.335,NA,genus,Grossulariaceae,Urban,Ribes,endozoochorous,Endozoochorous,1,TRY_GenusFill,animal
Ribes,Ribes,,1,51.8040527778,10.3300305556,NA,genus,Grossulariaceae,Optional,Ribes,endozoochorous,Endozoochorous,1,TRY_GenusFill,animal
Ribes,Ribes,Aesculus,1,49.769894,11.4084299722,0.4,genus,Grossulariaceae,Urban,Ribes,endozoochorous,Endozoochorous,1,TRY_GenusFill,animal
Ribes,Ribes,Tilia,1,49.7667964511,11.4093466848,0.7,genus,Grossulariaceae,Rural,Ribes,endozoochorous,Endozoochorous,1,TRY_GenusFill,animal
Ribes,Ribes,,1,54.3065590843,10.0955453177,NA,genus,Grossulariaceae,,Ribes,endozoochorous,Endozoochorous,1,TRY_GenusFill,animal
Rosaceae,,,1,50.873049,3.603425,NA,family,Rosaceae,,Rosaceae,NA,NA,NA,NA,NA
Cyperaceae,,Melia azedarach,1,-36.8934306709,174.7439815271,NA,family,Cyperaceae,Urban,Cyperaceae,anemochorous,Anemochorous,1,TRY_GenusFill,wind
Cyperaceae,,Annona glabra,1,9.202175,-79.8106216667,0.5,family,Cyperaceae,Rural,Cyperaceae,anemochorous,Anemochorous,1,TRY_GenusFill,wind
