site,taxon_name,genus_name,tree_sp,epi_count,epi_lat,epi_lon,dbh_cat,taxon_rank,total_trees,obs_count_dbh,spp_count_dbh,obs_count,spp_count,lon,lat,setting,obs_per10,spp_per10,dominanttree1,dominanttree2,dominanttree3,species,mode_key,mode_label,n_modes,source,dispersal_agent_summary
S04,Fraxinus excelsior,Fraxinus,Salix,1,52.1278333333,4.4652777778,60 - 90,species,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Fraxinus excelsior,anemochorous,Anemochorous,1,EuDiS,wind
S04,Sambucus nigra,Sambucus,Salix,1,52.1278638889,4.4653083333,60 - 90,species,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Sambucus nigra,endozoochorous,Endozoochorous,1,EuDiS,animal
S04,Sambucus nigra,Sambucus,Salix,1,52.1278416667,4.4653166667,60 - 90,species,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Sambucus nigra,endozoochorous,Endozoochorous,1,EuDiS,animal
S04,Anthriscus sylvestris,Anthriscus,Salix,2,52.127875,4.4653361111,60 - 90,species,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Anthriscus sylvestris,endozoochorous_epizoochorous_anemochorous_myrmecochorous_freshwater-hydrochorous_unassisted_human-mediated,Mixed,7,TRY,mixed
S04,Sambucus nigra,Sambucus,Salix,1,52.127875,4.4653361111,60 - 90,species,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Sambucus nigra,endozoochorous,Endozoochorous,1,EuDiS,animal
S04,Acer pseudoplatanus,Acer,Salix,1,52.1279111111,4.4653444444,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Acer pseudoplatanus,anemochorous,Anemochorous,1,EuDiS,wind
S04,Sambucus nigra,Sambucus,Salix,2,52.1279,4.4653583333,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Sambucus nigra,endozoochorous,Endozoochorous,1,EuDiS,animal
S04,Fraxinus excelsior,Fraxinus,Salix,2,52.1279138889,4.465375,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Fraxinus excelsior,anemochorous,Anemochorous,1,EuDiS,wind
S04,Poaceae,,Salix,1,52.1279361111,4.4654055556,60 - 90,family,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Poaceae,unassisted,Unassisted,1,TRY_GenusFill,unassisted
S04,Anthriscus sylvestris,Anthriscus,Salix,2,52.1279361111,4.4654055556,60 - 90,species,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Anthriscus sylvestris,endozoochorous_epizoochorous_anemochorous_myrmecochorous_freshwater-hydrochorous_unassisted_human-mediated,Mixed,7,TRY,mixed
S04,Galium aparine,Galium,Salix,4,52.1279555556,4.4654027778,60 - 90,complex,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Galium aparine,epizoochorous,Epizoochorous,1,EuDiS,animal
S04,Sambucus nigra,Sambucus,Salix,1,52.128025,4.4654638889,60 - 90,species,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Sambucus nigra,endozoochorous,Endozoochorous,1,EuDiS,animal
S04,Sambucus nigra,Sambucus,Salix,1,52.1280277778,4.4654555556,60 - 90,species,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Sambucus nigra,endozoochorous,Endozoochorous,1,EuDiS,animal
S04,Galium aparine,Galium,Salix,2,52.128025,4.4654638889,60 - 90,complex,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Galium aparine,epizoochorous,Epizoochorous,1,EuDiS,animal
S04,Galium aparine,Galium,Salix,2,52.1280277778,4.4654555556,60 - 90,complex,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Galium aparine,epizoochorous,Epizoochorous,1,EuDiS,animal
S04,Sambucus nigra,Sambucus,Salix,1,52.1280444444,4.4654472222,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Sambucus nigra,endozoochorous,Endozoochorous,1,EuDiS,animal
S04,Sambucus nigra,Sambucus,Salix,3,52.1280833333,4.4654805556,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Sambucus nigra,endozoochorous,Endozoochorous,1,EuDiS,animal
S04,Sambucus nigra,Sambucus,Salix,1,52.1281138889,4.4655277778,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Sambucus nigra,endozoochorous,Endozoochorous,1,EuDiS,animal
S04,Anthriscus sylvestris,Anthriscus,Salix,1,52.1281555556,4.4655222222,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Anthriscus sylvestris,endozoochorous_epizoochorous_anemochorous_myrmecochorous_freshwater-hydrochorous_unassisted_human-mediated,Mixed,7,TRY,mixed
S04,Anthriscus sylvestris,Anthriscus,Salix,1,52.1281305556,4.4655138889,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Anthriscus sylvestris,endozoochorous_epizoochorous_anemochorous_myrmecochorous_freshwater-hydrochorous_unassisted_human-mediated,Mixed,7,TRY,mixed
S04,Galium aparine,Galium,Alnus glutinosa,1,52.1269861111,4.4644527778,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Galium aparine,epizoochorous,Epizoochorous,1,EuDiS,animal
S04,Glechoma hederacea,Glechoma,Salix,2,52.126975,4.4644361111,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Glechoma hederacea,myrmecochorous,Myrmecochorous,1,EuDiS,animal
S04,Magnoliopsida,,Salix,2,52.12695,4.4644111111,30 - 60,class,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Magnoliopsida,NA,NA,NA,NA,NA
S04,Sorbus,Sorbus,Salix,1,52.1269222222,4.4643833333,30 - 60,genus,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Sorbus,endozoochorous,Endozoochorous,1,TRY_GenusFill,animal
S04,Urtica,Urtica,Salix,3,52.1268194444,4.4642416667000004,60 - 90,genus,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Urtica,unassisted,Unassisted,1,TRY_FamilyFill,unassisted
S04,Sambucus nigra,Sambucus,Salix,1,52.1267916667,4.4642055556,60 - 90,species,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Sambucus nigra,endozoochorous,Endozoochorous,1,EuDiS,animal
S04,Galium aparine,Galium,Salix,5,52.1268194444,4.4642416667000004,60 - 90,complex,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Galium aparine,epizoochorous,Epizoochorous,1,EuDiS,animal
S04,Galium aparine,Galium,Salix,5,52.1268194444,4.4642416667000004,60 - 90,complex,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Galium aparine,epizoochorous,Epizoochorous,1,EuDiS,animal
S04,Galium aparine,Galium,Salix,5,52.1268194444,4.4642416667000004,60 - 90,complex,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Galium aparine,epizoochorous,Epizoochorous,1,EuDiS,animal
S04,Galium aparine,Galium,Salix,5,52.1268194444,4.4642416667000004,60 - 90,complex,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Galium aparine,epizoochorous,Epizoochorous,1,EuDiS,animal
S04,Galium aparine,Galium,Salix,5,52.1268194444,4.4642416667000004,60 - 90,complex,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Galium aparine,epizoochorous,Epizoochorous,1,EuDiS,animal
S04,Poaceae,,Salix,1,52.1265444444,4.4635444444,60 - 90,family,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Poaceae,unassisted,Unassisted,1,TRY_GenusFill,unassisted
S04,Galium aparine,Galium,Salix,3,52.1265111111,4.4637972222,60 - 90,species,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Galium aparine,epizoochorous,Epizoochorous,1,EuDiS,animal
S04,Corylus avellana,Corylus,Salix,1,52.1265055556,4.4638,60 - 90,species,12,51,13,146,31,4.4632246,52.1261161,Urban,42.5,10.833333333333334,Salix,Alnus,,Corylus avellana,vertebrate-hoarding,Vertebrate-hoarding,1,EuDiS,animal
S04,Glechoma hederacea,Glechoma,Salix,2,52.1264916667,4.4637555556,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Glechoma hederacea,myrmecochorous,Myrmecochorous,1,EuDiS,animal
S04,Fraxinus excelsior,Fraxinus,Salix,1,52.1264722222,4.4637583333,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Fraxinus excelsior,anemochorous,Anemochorous,1,EuDiS,wind
S04,Galium aparine,Galium,Salix,5,52.1264444444,4.4637361111,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Galium aparine,epizoochorous,Epizoochorous,1,EuDiS,animal
S04,Glechoma hederacea,Glechoma,Salix,1,52.1264444444,4.4637361111,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Glechoma hederacea,myrmecochorous,Myrmecochorous,1,EuDiS,animal
S04,Fraxinus excelsior,Fraxinus,Salix,1,52.1264444444,4.4637361111,30 - 60,species,38,95,26,146,31,4.4632246,52.1261161,Urban,25,6.842105263157895,Salix,Alnus,,Fraxinus excelsior,anemochorous,Anemochorous,1,EuDiS,wind
