species,dispersal_mode,source,genus,family,mode_key,mode_label,n_modes,agents_vec,dispersal_agent_multi,dispersal_agent_summary
Abarema brachystachya,epizoochorous_endozoochorous,TRY,NA,NA,endozoochorous_epizoochorous,Mixed,2,,animal,animal
Abarema cochliocarpos,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Abarema jupunba,epizoochorous_endozoochorous_myrmecochorous_freshwater-hydrochorous,TRY,NA,NA,endozoochorous_epizoochorous_myrmecochorous_freshwater-hydrochorous,Mixed,4,,animal_water,mixed
Abarema langsdorffii,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Abarema villosa,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Abatia americana,myrmecochorous,TRY,NA,NA,myrmecochorous,Myrmecochorous,1,,animal,animal
Abies alba,anemochorous,EuDiS,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Abies amabilis,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abies balsamea,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abies bracteata,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Abies cephalonica,anemochorous,EuDiS,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Abies concolor,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abies firma,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abies fraseri,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abies grandis,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abies homolepis,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abies lasiocarpa,myrmecochorous_anemochorous_endozoochorous,TRY,NA,NA,endozoochorous_anemochorous_myrmecochorous,Mixed,3,,animal_wind,mixed
Abies lasiocarpa var. arizonica,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Abies lasiocarpa var. lasiocarpa,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Abies magnifica,anemochorous_myrmecochorous_epizoochorous_endozoochorous,TRY,NA,NA,endozoochorous_epizoochorous_anemochorous_myrmecochorous,Mixed,4,,animal_wind,mixed
Abies magnifica var. magnifica,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Abies magnifica var. shastensis,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Abies mariesii,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abies nordmanniana,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abies pinsapo,anemochorous,EuDiS,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Abies procera,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abies religiosa,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Abies sachalinensis,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abies veitchii,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Abildgaardia papillosa,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Abolboda egleri,anemochorous_unassisted,TRY,NA,NA,anemochorous_unassisted,Mixed,2,,wind_unassisted,mixed
Abolboda poarchon,anemochorous_unassisted,TRY,NA,NA,anemochorous_unassisted,Mixed,2,,wind_unassisted,mixed
Abolboda pulchella,anemochorous_unassisted,TRY,NA,NA,anemochorous_unassisted,Mixed,2,,wind_unassisted,mixed
Abrus precatorius,freshwater-hydrochorous_thalassochorous_myrmecochorous,TRY,NA,NA,thalassochorous_myrmecochorous_freshwater-hydrochorous,Mixed,3,,animal_water,mixed
Abuta grandifolia,epizoochorous_endozoochorous,TRY,NA,NA,endozoochorous_epizoochorous,Mixed,2,,animal,animal
Abuta panamensis,epizoochorous_endozoochorous,TRY,NA,NA,endozoochorous_epizoochorous,Mixed,2,,animal,animal
Abutilon cryptopetalum,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Abutilon fraseri,unassisted_myrmecochorous,TRY,NA,NA,myrmecochorous_unassisted,Mixed,2,,animal_unassisted,mixed
Abutilon inaequilaterum,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Abutilon ramiflorum,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Abutilon theophrasti,epizoochorous,EuDiS,NA,NA,epizoochorous,Epizoochorous,1,,animal,animal
Abutilon trisulcatum,unassisted_myrmecochorous,TRY,NA,NA,myrmecochorous_unassisted,Mixed,2,,animal_unassisted,mixed
Abutilon umbelliflorum,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Abutilon viscosum,myrmecochorous,TRY,NA,NA,myrmecochorous,Myrmecochorous,1,,animal,animal
Acacia acradenia,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia adsurgens,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia alleniana,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia ammobia,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia aneura,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia aulacocarpa,freshwater-hydrochorous_thalassochorous,TRY,NA,NA,thalassochorous_freshwater-hydrochorous,Mixed,2,,water,water
Acacia baileyana,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia binervata,myrmecochorous,TRY,NA,NA,myrmecochorous,Myrmecochorous,1,,animal,animal
Acacia brachystachya,myrmecochorous,TRY,NA,NA,myrmecochorous,Myrmecochorous,1,,animal,animal
Acacia burbidgeae,myrmecochorous,TRY,NA,NA,myrmecochorous,Myrmecochorous,1,,animal,animal
Acacia calyculata,epizoochorous_endozoochorous,TRY,NA,NA,endozoochorous_epizoochorous,Mixed,2,,animal,animal
Acacia cambagei,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Acacia cana,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia coriacea,epizoochorous,TRY,NA,NA,epizoochorous,Epizoochorous,1,,animal,animal
Acacia cuthbertsonii,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia cyclops,epizoochorous_endozoochorous_myrmecochorous,TRY,NA,NA,endozoochorous_epizoochorous_myrmecochorous,Mixed,3,,animal,animal
Acacia dealbata,epizoochorous_myrmecochorous_unassisted,TRY,NA,NA,epizoochorous_myrmecochorous_unassisted,Mixed,3,,animal_unassisted,mixed
Acacia desmondii,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia diffusa,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia estrophiolata,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acacia excelsa,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Acacia extensa,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia floribunda,myrmecochorous,TRY,NA,NA,myrmecochorous,Myrmecochorous,1,,animal,animal
Acacia georginae,unassisted_myrmecochorous,TRY,NA,NA,myrmecochorous_unassisted,Mixed,2,,animal_unassisted,mixed
Acacia hakeoides,myrmecochorous,TRY,NA,NA,myrmecochorous,Myrmecochorous,1,,animal,animal
Acacia homalophylla,myrmecochorous,TRY,NA,NA,myrmecochorous,Myrmecochorous,1,,animal,animal
Acacia irrorata subsp. irrorata,myrmecochorous,TRY,NA,NA,myrmecochorous,Myrmecochorous,1,,animal,animal
Acacia kempeana,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia latisepala,myrmecochorous,TRY,NA,NA,myrmecochorous,Myrmecochorous,1,,animal,animal
Acacia latzii,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia ligulata,epizoochorous_endozoochorous_myrmecochorous,TRY,NA,NA,endozoochorous_epizoochorous_myrmecochorous,Mixed,3,,animal,animal
Acacia linifolia,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia longifolia,epizoochorous_endozoochorous_myrmecochorous,TRY,NA,NA,endozoochorous_epizoochorous_myrmecochorous,Mixed,3,,animal,animal
Acacia longifolia subsp. longifolia,myrmecochorous,TRY,NA,NA,myrmecochorous,Myrmecochorous,1,,animal,animal
Acacia longifolia subsp. sophorae,myrmecochorous,TRY,NA,NA,myrmecochorous,Myrmecochorous,1,,animal,animal
Acacia maidenii,epizoochorous_endozoochorous,TRY,NA,NA,endozoochorous_epizoochorous,Mixed,2,,animal,animal
Acacia maitlandii,unassisted_myrmecochorous,TRY,NA,NA,myrmecochorous_unassisted,Mixed,2,,animal_unassisted,mixed
Acacia mearnsii,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia melanoxylon,epizoochorous_endozoochorous_myrmecochorous,TRY,NA,NA,endozoochorous_epizoochorous_myrmecochorous,Mixed,3,,animal,animal
Acacia minutifolia,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia murrayana,unassisted_myrmecochorous,TRY,NA,NA,myrmecochorous_unassisted,Mixed,2,,animal_unassisted,mixed
Acacia myrtifolia,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia oswaldii,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia oxycedrus,myrmecochorous,TRY,NA,NA,myrmecochorous,Myrmecochorous,1,,animal,animal
Acacia paradoxa,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia podalyriifolia,myrmecochorous,TRY,NA,NA,myrmecochorous,Myrmecochorous,1,,animal,animal
Acacia prainii,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia prominens,myrmecochorous,TRY,NA,NA,myrmecochorous,Myrmecochorous,1,,animal,animal
Acacia pruinocarpa,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia pulchella,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia pycnantha,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia ramulosa,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia salicina,epizoochorous_endozoochorous_freshwater-hydrochorous_thalassochorous,TRY,NA,NA,endozoochorous_epizoochorous_thalassochorous_freshwater-hydrochorous,Mixed,4,,animal_water,mixed
Acacia saligna,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia spondylophylla,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia stenophylla,freshwater-hydrochorous_thalassochorous_unassisted,TRY,NA,NA,thalassochorous_freshwater-hydrochorous_unassisted,Mixed,3,,water_unassisted,mixed
Acacia suaveolens,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia terminalis,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia tetragonophylla,epizoochorous_endozoochorous_myrmecochorous,TRY,NA,NA,endozoochorous_epizoochorous_myrmecochorous,Mixed,3,,animal,animal
Acacia ulicifolia,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acacia victoriae,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acaena agnipila,epizoochorous,TRY,NA,NA,epizoochorous,Epizoochorous,1,,animal,animal
Acaena anserinifolia,epizoochorous,TRY,NA,NA,epizoochorous,Epizoochorous,1,,animal,animal
Acaena anserovina_x,epizoochorous,TRY,NA,NA,epizoochorous,Epizoochorous,1,,animal,animal
Acaena magellanica,epizoochorous,TRY,NA,NA,epizoochorous,Epizoochorous,1,,animal,animal
Acaena novae-zelandiae,epizoochorous_myrmecochorous_anemochorous,TRY,NA,NA,epizoochorous_anemochorous_myrmecochorous,Mixed,3,,animal_wind,mixed
Acaena ovina,epizoochorous,TRY,NA,NA,epizoochorous,Epizoochorous,1,,animal,animal
Acalypha amblyodonta,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Acalypha brasiliensis,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Acalypha chorisandra,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Acalypha cincta,unassisted_myrmecochorous,TRY,NA,NA,myrmecochorous_unassisted,Mixed,2,,animal_unassisted,mixed
Acalypha claussenii,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Acalypha communis,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Acalypha digynostachya,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Acalypha dimorpha,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Acalypha diversifolia,myrmecochorous_ballochorous_unassisted,TRY,NA,NA,myrmecochorous_ballochorous_unassisted,Mixed,3,,animal_ballistic_unassisted,mixed
Acalypha filipes,unassisted_myrmecochorous,TRY,NA,NA,myrmecochorous_unassisted,Mixed,2,,animal_unassisted,mixed
Acalypha gracilis,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Acalypha lagoensis,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Acalypha langiana var. vigens,unassisted_myrmecochorous,TRY,NA,NA,myrmecochorous_unassisted,Mixed,2,,animal_unassisted,mixed
Acalypha macrostachya,myrmecochorous_ballochorous_unassisted,TRY,NA,NA,myrmecochorous_ballochorous_unassisted,Mixed,3,,animal_ballistic_unassisted,mixed
Acalypha mapirensis,myrmecochorous_ballochorous,TRY,NA,NA,myrmecochorous_ballochorous,Mixed,2,,animal_ballistic,mixed
Acalypha martiana,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Acalypha multicaulis,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Acalypha nemorum,myrmecochorous,TRY,NA,NA,myrmecochorous,Myrmecochorous,1,,animal,animal
Acalypha omissa,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Acalypha oxyodonta,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Acalypha pruriens,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Acalypha riedeliana,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Acalypha seminuda,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Acalypha skutchii,freshwater-hydrochorous,TRY,NA,NA,freshwater-hydrochorous,Freshwater-hydrochorous,1,,water,water
Acalypha vellamea,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Acalypha villosa,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Acalypha virginica,epizoochorous_myrmecochorous,TRY,NA,NA,epizoochorous_myrmecochorous,Mixed,2,,animal,animal
Acanthospermum australe,myrmecochorous,TRY,NA,NA,myrmecochorous,Myrmecochorous,1,,animal,animal
Acanthospermum hispidum,myrmecochorous,TRY,NA,NA,myrmecochorous,Myrmecochorous,1,,animal,animal
Acanthostachys strobilacea,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Acanthus balcanicus,ballochorous,EuDiS,NA,NA,ballochorous,Ballochorous,1,,ballistic,ballistic
Acanthus mollis,ballochorous,EuDiS,NA,NA,ballochorous,Ballochorous,1,,ballistic,ballistic
Acanthus spinosus,ballochorous,EuDiS,NA,NA,ballochorous,Ballochorous,1,,ballistic,ballistic
Acca sellowiana,epizoochorous,TRY,NA,NA,epizoochorous,Epizoochorous,1,,animal,animal
Acer campestre,anemochorous,EuDiS,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acer cappadocicum,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acer circinatum,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Acer glabrum,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Acer granatense,anemochorous,EuDiS,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acer grandidentatum,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Acer griseum,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acer heldreichii,anemochorous,EuDiS,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acer hyrcanum,anemochorous,EuDiS,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acer laurinum,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acer lobelii,anemochorous,EuDiS,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acer macrophyllum,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Acer monspessulanum,anemochorous,EuDiS,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acer monspessulanum subsp. monspessulanum,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acer negundo,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Acer opalus,anemochorous,EuDiS,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acer palmatum,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acer pensylvanicum,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Acer platanoides,anemochorous,EuDiS,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acer pseudoplatanus,anemochorous,EuDiS,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acer rubrum,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Acer saccharinum,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Acer saccharum,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Acer sempervirens,anemochorous,EuDiS,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acer spicatum,anemochorous_myrmecochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Acer tataricum,anemochorous,EuDiS,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Achillea atrata,ballochorous,TRY,NA,NA,ballochorous,Ballochorous,1,,ballistic,ballistic
Achillea collina,ballochorous_endozoochorous_epizoochorous,TRY,NA,NA,endozoochorous_epizoochorous_ballochorous,Mixed,3,,animal_ballistic,mixed
Achillea erba-rotta,ballochorous_unassisted,TRY,NA,NA,ballochorous_unassisted,Mixed,2,,ballistic_unassisted,mixed
Achillea filipendulina,ballochorous_human-mediated,TRY,NA,NA,ballochorous_human-mediated,Mixed,2,,animal_ballistic,mixed
Achillea macrophylla,ballochorous,TRY,NA,NA,ballochorous,Ballochorous,1,,ballistic,ballistic
Achillea maritima,freshwater-hydrochorous_anemochorous,TRY,NA,NA,anemochorous_freshwater-hydrochorous,Mixed,2,,wind_water,mixed
Achillea millefolium,anemochorous_unassisted_endozoochorous_human-mediated_ballochorous_myrmecochorous_epizoochorous_freshwater-hydrochorous,TRY,NA,NA,endozoochorous_epizoochorous_anemochorous_myrmecochorous_freshwater-hydrochorous_ballochorous_unassisted_human-mediated,Mixed,8,,animal_wind_water_ballistic_unassisted,mixed
Achillea millefolium subsp. millefolium,endozoochorous_epizoochorous_ballochorous_anemochorous,TRY,NA,NA,endozoochorous_epizoochorous_anemochorous_ballochorous,Mixed,4,,animal_wind_ballistic,mixed
Achillea nana,ballochorous,TRY,NA,NA,ballochorous,Ballochorous,1,,ballistic,ballistic
Achillea nobilis,ballochorous,TRY,NA,NA,ballochorous,Ballochorous,1,,ballistic,ballistic
Achillea ptarmica,endozoochorous_anemochorous_ballochorous_freshwater-hydrochorous_unassisted_human-mediated,TRY,NA,NA,endozoochorous_anemochorous_freshwater-hydrochorous_ballochorous_unassisted_human-mediated,Mixed,6,,animal_wind_water_ballistic_unassisted,mixed
Achillea salicifolia,endozoochorous,TRY,NA,NA,endozoochorous,Endozoochorous,1,,animal,animal
Achillea seidlii,ballochorous_epizoochorous,TRY,NA,NA,epizoochorous_ballochorous,Mixed,2,,animal_ballistic,mixed
Achimenes longiflora,unassisted_myrmecochorous,TRY,NA,NA,myrmecochorous_unassisted,Mixed,2,,animal_unassisted,mixed
Achnatherum calamagrostis,anemochorous,EuDiS,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Achnatherum coronatum,epizoochorous,TRY,NA,NA,epizoochorous,Epizoochorous,1,,animal,animal
Achyranthes aspera,epizoochorous_myrmecochorous_unassisted,TRY,NA,NA,epizoochorous_myrmecochorous_unassisted,Mixed,3,,animal_unassisted,mixed
Achyranthes sicula,epizoochorous,EuDiS,NA,NA,epizoochorous,Epizoochorous,1,,animal,animal
Achyrocline alata,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Achyrocline albicans,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Achyrocline flaccida,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Achyrocline gardneri,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Achyrocline gertiana,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Achyrocline heringeri,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Achyrocline satureioides,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Achyrocline tombadorensis,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Achyrocline vargasiana,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Acianthera adamantinensis,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acianthera amaralii,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acianthera atroglossa,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acianthera atropurpurea,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acianthera bicornuta,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acianthera caparaoensis,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acianthera crepiniana,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acianthera cryptophoranthoides,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acianthera fabiobarrosii,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acianthera fockei,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acianthera foetens,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acianthera montana,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acianthera nemorosa,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acianthera ochreata,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acianthera parva,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acianthera prolifera,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acianthera pubescens,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acianthera ramosa,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acianthera saundersiana,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acianthera teres,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Acilepidopsis echitifolia,anemochorous_unassisted,TRY,NA,NA,anemochorous_unassisted,Mixed,2,,wind_unassisted,mixed
Acinodendron trianae,myrmecochorous,TRY,NA,NA,myrmecochorous,Myrmecochorous,1,,animal,animal
Acinos arvensis,epizoochorous,EuDiS,NA,NA,epizoochorous,Epizoochorous,1,,animal,animal
Aciotis acuminifolia,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Aciotis annua,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Aciotis paludosa,unassisted,TRY,NA,NA,unassisted,Unassisted,1,,unassisted,unassisted
Acisanthera alsinaefolia,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Acisanthera uniflora,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Acisanthera variabilis,myrmecochorous_anemochorous_unassisted,TRY,NA,NA,anemochorous_myrmecochorous_unassisted,Mixed,3,,animal_wind_unassisted,mixed
Ackama muelleri,anemochorous_freshwater-hydrochorous,TRY,NA,NA,anemochorous_freshwater-hydrochorous,Mixed,2,,wind_water,mixed
Acmella alba,myrmecochorous_anemochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Acmella alpestris,myrmecochorous_anemochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
Acmella bellidioides,myrmecochorous_anemochorous,TRY,NA,NA,anemochorous_myrmecochorous,Mixed,2,,animal_wind,mixed
