species,dispersal_mode,source,genus,family,mode_key,mode_label,n_modes,agents_vec,dispersal_agent_multi,dispersal_agent_summary
Mikania nelsonii,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania neurocaula,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania nummularia,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania oblongifolia,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania obovata,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania obtusata,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania officinalis,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania pacei,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania pachychaeta,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania palustris,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania parviflora,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania parvifolia,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania phaeoclados,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania pohliana,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania pohlii,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania populifolia,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania premnifolia,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania pseudogracilis,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania pseudomicrocephala,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania psilostachya,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania purpurascens,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania ramosissima,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania reticulata,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania retifolia,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania reynoldsii,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania rothii,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
Mikania salicifolia,anemochorous,TRY,NA,NA,anemochorous,Anemochorous,1,,wind,wind
