y,taxon_id,species_label,lon,lat,chelsa_ai_1981_2010_v_2_1,chelsa_bio10,chelsa_bio6,chelsa_sfc_wind_mean_1981_2010_v_2_1
1,119791,Acer_pseudoplatanus,2.74175,51.1354611111,1.5422829389572144,16.850000000000023,2.750000000000057,3.73
1,119791,Acer_pseudoplatanus,-0.089925,49.2934833333,1.125826358795166,17.55000000000001,2.8500000000000227,4.748
1,119791,Acer_pseudoplatanus,-1.6155138889,49.6323138889,1.6895004510879517,16.350000000000023,4.550000000000011,4.311
1,119791,Acer_pseudoplatanus,-1.6165111111,49.6318055556,1.6895004510879517,16.350000000000023,4.550000000000011,4.311
1,119791,Acer_pseudoplatanus,-1.6161861111,49.6323138889,1.6895004510879517,16.350000000000023,4.550000000000011,4.311
1,119791,Acer_pseudoplatanus,8.0486413975,53.1746981998,1.3124275207519531,16.650000000000034,-0.3499999999999659,5.022
1,119791,Acer_pseudoplatanus,-2.3663611111,49.4382694444,2.7348597049713135,15.750000000000057,6.250000000000057,6.402
1,119791,Acer_pseudoplatanus,-2.4464472222,49.4701861111,2.6138510704040527,15.950000000000044,6.650000000000034,6.167
1,119791,Acer_pseudoplatanus,-2.5477777778,49.4316305556,2.902796506881714,15.850000000000025,6.550000000000011,5.407
1,119791,Acer_pseudoplatanus,-2.5402388889,49.4355194444,2.9050915241241455,15.850000000000025,6.550000000000011,5.194
1,119791,Acer_pseudoplatanus,7.6109694444,51.964025,1.2086783647537231,17.450000000000045,-0.3499999999999659,3.282
1,119791,Acer_pseudoplatanus,10.3226583333,51.8059138889,2.421539306640625,14.350000000000025,-4.0499999999999545,3.476
1,119791,Acer_pseudoplatanus,10.3224583333,51.8063055556,2.421539306640625,14.350000000000025,-4.0499999999999545,3.476
1,119791,Acer_pseudoplatanus,-3.4544555556,47.6394277778,1.8703886270523071,17.05000000000001,6.250000000000057,4.97
1,119791,Acer_pseudoplatanus,-1.69275,51.3886083333,1.3538683652877808,15.550000000000011,1.150000000000034,4.307
1,119791,Acer_pseudoplatanus,-8.2328555556,53.9838611111,2.2559642791748047,14.550000000000011,2.4500000000000455,5.41
1,119791,Acer_pseudoplatanus,-1.7789777778,43.3699,2.6506524085998535,19.850000000000023,6.750000000000057,3.371
1,119791,Acer_pseudoplatanus,-73.9083879933,40.6939870248,1.4745519161224363,23.15000000000003,-3.5499999999999545,2.717
