site,id,lat,lon,presence,island_class
S11,282938642,51.0903012,2.6110195,1,land
S11,282938648,51.0903012,2.6110195,1,land
S11,282938641,51.0903012,2.6110195,1,land
S11,282946496,51.0903012,2.6110195,1,land
S11,282946495,51.0903012,2.6110195,1,land
S11,282946487,51.0903012,2.6110195,1,land
S11,282946485,51.0903012,2.6110195,1,land
S11,282946482,51.0903012,2.6110195,1,land
S11,283083103,51.0903012,2.6110195,1,land
S11,283083102,51.0903012,2.6110195,1,land
S11,283083105,51.0903012,2.6110195,1,land
S11,283083101,51.0903012,2.6110195,1,land
S11,283085733,51.0903012,2.6110195,1,land
S11,283085736,51.0903012,2.6110195,1,land
S11,283085735,51.0903012,2.6110195,1,land
S12,no_id,51.08843,2.59384,0,land
S12,282920271,51.08843,2.59384,1,land
S12,282920270,51.08843,2.59384,1,land
S12,282920274,51.08843,2.59384,1,land
S12,282924837,51.08843,2.59384,1,land
S12,282924836,51.08843,2.59384,1,land
S12,282924831,51.08843,2.59384,1,land
S12,282922345,51.08843,2.59384,1,land
S12,282922342,51.08843,2.59384,1,land
S12,282922340,51.08843,2.59384,1,land
S12,282930910,51.08843,2.59384,1,land
S12,282930911,51.08843,2.59384,1,land
S13,no_id,50.65951,1.59683,0,land
S13,326745270,50.65951,1.59683,1,land
S13,326745267,50.65951,1.59683,1,land
S13,326745448,50.65951,1.59683,1,land
S13,326746272,50.65951,1.59683,1,land
S13,326746503,50.65951,1.59683,1,land
S13,326745775,50.65951,1.59683,1,land
S13,326745895,50.65951,1.59683,1,land
S13,326746027,50.65951,1.59683,1,land
S13,326746651,50.65951,1.59683,1,land
S14,no_id,50.11466,1.74377,0,land
S14,292026871,50.11466,1.74377,1,land
S15,no_id,50.1335389,1.7393024,0,land
S15,322911660,50.1335389,1.7393024,1,land
S15,322916141,50.1335389,1.7393024,1,land
S15,322916142,50.1335389,1.7393024,1,land
S15,322910257,50.1335389,1.7393024,1,land
S15,322910755,50.1335389,1.7393024,1,land
S15,322910758,50.1335389,1.7393024,1,land
S15,322910757,50.1335389,1.7393024,1,land
S15,322910754,50.1335389,1.7393024,1,land
S15,322911967,50.1335389,1.7393024,1,land
S15,322909502,50.1335389,1.7393024,1,land
S15,322909939,50.1335389,1.7393024,1,land
S15,322909936,50.1335389,1.7393024,1,land
S15,322913059,50.1335389,1.7393024,1,land
S15,322913887,50.1335389,1.7393024,1,land
S15,322910082,50.1335389,1.7393024,1,land
S15,322914916,50.1335389,1.7393024,1,land
S15,322914917,50.1335389,1.7393024,1,land
S15,322914915,50.1335389,1.7393024,1,land
S15,322915357,50.1335389,1.7393024,1,land
S15,322915356,50.1335389,1.7393024,1,land
S15,322915355,50.1335389,1.7393024,1,land
S15,322915361,50.1335389,1.7393024,1,land
S15,322915836,50.1335389,1.7393024,1,land
S15,322915840,50.1335389,1.7393024,1,land
S16,no_id,49.88844,1.17309,0,land
S17,292031603,49.40466,0.18589,1,land
S17,no_id,49.40466,0.18589,0,land
S17,292031601,49.40466,0.18589,1,land
S17,292031602,49.40466,0.18589,1,land
S18,no_id,49.4047619,0.1858556,0,land
S19,293661665,49.589478,-1.2467049,1,land
S19,293669367,49.589478,-1.2467049,1,land
S19,293671932,49.589478,-1.2467049,1,land
S19,293662272,49.589478,-1.2467049,1,land
S19,293662868,49.589478,-1.2467049,1,land
S19,293663154,49.589478,-1.2467049,1,land
S19,293664486,49.589478,-1.2467049,1,land
S19,293664487,49.589478,-1.2467049,1,land
S19,293664474,49.589478,-1.2467049,1,land
S19,293665121,49.589478,-1.2467049,1,land
S19,293665681,49.589478,-1.2467049,1,land
S19,293667174,49.589478,-1.2467049,1,land
S19,293668390,49.589478,-1.2467049,1,land
S19,293669970,49.589478,-1.2467049,1,land
S19,293671933,49.589478,-1.2467049,1,land
S19,293672233,49.589478,-1.2467049,1,land
S19,293672628,49.589478,-1.2467049,1,land
S19,293661037,49.589478,-1.2467049,1,land
S19,293661040,49.589478,-1.2467049,1,land
S19,293661042,49.589478,-1.2467049,1,land
S19,293661041,49.589478,-1.2467049,1,land
S19,293661285,49.589478,-1.2467049,1,land
S19,293666310,49.589478,-1.2467049,1,land
S19,293658491,49.589478,-1.2467049,1,land
S19,293660345,49.589478,-1.2467049,1,land
S19,293660346,49.589478,-1.2467049,1,land
S19,293668829,49.589478,-1.2467049,1,land
S19,293673845,49.589478,-1.2467049,1,land
S19,293673848,49.589478,-1.2467049,1,land
S19,293673849,49.589478,-1.2467049,1,land
S19,293673847,49.589478,-1.2467049,1,land
S19,293673844,49.589478,-1.2467049,1,land
S20,no_id,49.71196,-2.21001,0,island
S20,303918385,49.71196,-2.21001,1,island
S20,303918386,49.71196,-2.21001,1,island
S20,303916899,49.71196,-2.21001,1,island
S21,no_id,49.42511,-2.35531,0,island
