id,tree_genus
147514369,Unknown
147514706,Unknown
147514761,Unknown
147528581,Unknown
147528636,Unknown
147617756,Unknown
147618381,Unknown
147673737,Unknown
147686125,Metrosideros
147705797,Acer
147805861,Unknown
147844763,Unknown
147861451,Unknown
147969899,Unknown
147973320,Unknown
148030931,Unknown
148188036,Unknown
148189398,Unknown
148204431,Unknown
148263359,Unknown
148330531,Unknown
148331181,Unknown
148331552,Unknown
148333942,Unknown
148474874,Unknown
148535896,Arecaceae
148554040,Unknown
148554057,Cervus
148554060,Cervus
148707657,Unknown
148747269,Unknown
148761910,Cervus
148944315,Elaeis
148950449,Unknown
148971110,Fitzroya
149051252,Unknown
149051256,Unknown
149077680,Totara
149202877,Unknown
149368260,Unknown
149368572,Annona
149369236,Annona
149404826,Unknown
149410911,Attalea
149442144,Ficus
149529915,Unknown
149600475,Annona
149643430,Annona
149648289,Unknown
149683092,Phoenix
149683119,Phoenix
149683131,Phoenix
149701168,Unknown
149708521,Cyathea
149786498,Unknown
149822381,Phoenix
149924000,Acer
149943492,Cervus
150059611,Unknown
150148634,Betula
150148635,Betula
150148637,Betula
150148638,Betula
150148645,Acer
1501824,Unknown
150194790,Pinus
150196455,Cervus
150293502,Unknown
150293906,Unknown
150294426,Unknown
150294711,Unknown
150366985,Platanus
150377105,Unknown
150413735,Thuja
150532128,Alnus
150540145,Unknown
150540551,Liana
150602458,Unknown
150611549,Unknown
150611821,Unknown
150612321,Unknown
150619923,Unknown
150620087,Unknown
150620276,Unknown
150621754,Liana
150666093,Unknown
150670050,Unknown
150858834,Unknown
150970696,Mangifera
150971074,Persea
150971589,Persea
150971894,Unknown
150976149,Unknown
150976473,Unknown
150980291,Unknown
150990613,Unknown
151121606,Betula
151167924,Vitex
151183152,Unknown
151183356,Unknown
151184150,Unknown
151185458,Unknown
151185842,Unknown
151186235,Unknown
151186398,Unknown
151186874,Phoenix
151187041,Unknown
151187102,Unknown
151187332,Unknown
151192000,Unknown
151194543,Unknown
151198711,Unknown
151198783,Unknown
151264137,Annona
151264287,Annona
151264380,Annona
151264755,Annona
151265266,Annona
151283470,Unknown
151283518,Unknown
151283581,Unknown
151283627,Phoenix
151283666,Unknown
151283786,Unknown
151283829,Phoenix
151283845,Unknown
151283941,Phoenix
151283981,Phoenix
151284176,Phoenix
151284436,Phoenix
151284466,Phoenix
151284537,Phoenix
151284570,Unknown
151284755,Phoenix
151284816,Phoenix
151284940,Phoenix
151284970,Unknown
151285099,Phoenix
151285125,Phoenix
151285422,Phoenix
151285662,Unknown
151287169,Phoenix
151287210,Unknown
151287360,Phoenix
151288558,Phoenix
151288604,Unknown
151310105,Acer
151362055,Phoenix
151431696,Unknown
151431700,Unknown
151431701,Unknown
151431703,Unknown
151439035,Annona
15156559,Unknown
151779499,Cyathea
151975490,Quercus
152003081,Zonotrichia
152003082,Zonotrichia
152049428,Unknown
152103946,Unknown
152164686,Unknown
152376049,Unknown
152675859,Unknown
152713236,Unknown
152891625,Juniperus
153193946,Unknown
153208668,Quercus
153290271,Unknown
153297708,Cervus
153300228,Unknown
153373878,Cervus
15362478,Unknown
153628744,Acer
1537189,Salix
153728209,Unknown
153745089,Juniperus
153746671,Juniperus
153794590,Unknown
153825721,Unknown
153918670,Unknown
153950137,Quercus
153985723,Unknown
154094026,Sambucus
154134289,Aesculus
15413709,Unknown
154139171,Unknown
154234187,Quercus
154246428,Unknown
154272963,Thuja
154354212,Pyrus
154357206,Pyrus
154384758,Unknown
154629043,Unknown
155229987,Unknown
155235358,Unknown
155299039,Cervus
155432862,Unknown
155640939,Unknown
155696249,Juniperus
156049772,Quercus
156050069,Quercus
156204737,Micrathena
156207870,Cervus
1562172,Unknown
156252429,Unknown
156318785,Unknown
15639282,Arecaceae
156446519,Unknown
156612040,Quercus
156700040,Unknown
156769472,Unknown
156769474,Unknown
1571836,Unknown
157203622,Acer
157208322,Unknown
157308073,Unknown
157844211,Unknown
157853952,Acer
157915346,Dicksonia
158146746,Acer
158158435,Quercus
158159362,Salix
158166792,Quercus
158171057,Salix
158173171,Salix
158174445,Salix
158176391,Salix
158178026,Salix
158179512,Salix
158180794,Salix
158183716,Salix
158187213,Salix
158514808,Unknown
158780746,Unknown
159068774,Unknown
159113056,Podocarpus
159526916,Unknown
159653693,Arecaceae
159935051,Unknown
159978774,Quercus
160029182,Unknown
160192931,Rhopalostylis
160466971,Unknown
160522870,Chamaecyparis
160533140,Unknown
160533464,Picea
160533719,Picea
160539597,Quercus
160540250,Unknown
160540508,Unknown
160540663,Unknown
160596855,Morella
160796184,Terminalia
160883317,Quercus
160888686,Quercus
160921979,Picea
160974140,Arecaceae
161047910,Unknown
161082253,Quercus
161276489,Peltodoris
161277386,Turdus
161339410,Phoenix
161339460,Phoenix
161339755,Phoenix
161438940,Unknown
161450569,Levenhookia
161450571,Levenhookia
161456130,Arecaceae
161609886,Betula
161611892,Tilia
161633777,Turdus
161658076,Quercus
161659887,Acer
161660186,Acer
161660622,Acer
161680692,Unknown
161696912,Unknown
161988834,Quercus
162057591,Unknown
162090035,Ficus
162244569,Prunus
162456330,Pyrus
162485638,Unknown
162599800,Fagus
162600183,Tilia
162600590,Tilia
162600899,Fagus
162601326,Aesculus
162601612,Aesculus
162602074,Tilia
162619930,Unknown
162650512,Salix
162664593,Quercus
162687389,Quercus
162688729,Salix
162689541,Salix
163038540,Melia
163059668,Unknown
163059708,Melia
163059801,Melia
163061703,Falco
163061949,Falco
163062042,Melia
163063221,Melia
163146192,Morus
163147166,Unknown
163168484,Tilia
163172003,Unknown
163172546,Tilia
163173301,Tilia
163173929,Tilia
163174798,Tilia
163248917,Tilia
163249178,Aesculus
163250805,Turdus
163251115,Tilia
163252398,Tilia
163252471,Aesculus
163252582,Tilia
163284099,Tilia
163284173,Tilia
163284833,Tilia
163344791,Tilia
163345028,Tilia
163347245,Tilia
163348515,Tilia
163349343,Tilia
163398068,Treefern
16341510,Unknown
163453483,Cyathea
163475767,Acer
