site,TreeCat,NumberTrees,siteLat,siteLon,setting,dominanttree1,dominanttree2,dominanttree3,dominanttree4,dominanttree5,dominanttree6,V17,undergrowth,n_epis_per_site,n_sp_per_site,n_epis_per_site_cat,n_sp_per_site_cat,Name,area_ha
S28,60 - 90,8,48.0353798,-4.5461875,Rural,Castanea,Quercus,Fagus,Ilex,Picea,"","","",0,0,0,0,Site28_Audierne,0.278096606951
S28,90+,0,48.0353798,-4.5461875,Rural,Castanea,Quercus,Fagus,Ilex,Picea,"","","",0,0,0,0,Site28_Audierne,0.278096606951
S29,10 - 30,97,47.8927817,-3.9467547,Rural,Pinus,Fagus,Quercus,Ilex,Picea,"","","",0,0,0,0,Site29_Concarneau,0.392342609679
S29,30 - 60,47,47.8927817,-3.9467547,Rural,Pinus,Fagus,Quercus,Ilex,Picea,"","","",10,1,10,1,Site29_Concarneau,0.392342609679
S29,60 - 90,6,47.8927817,-3.9467547,Rural,Pinus,Fagus,Quercus,Ilex,Picea,"","","",0,0,0,0,Site29_Concarneau,0.392342609679
S29,90+,0,47.8927817,-3.9467547,Rural,Pinus,Fagus,Quercus,Ilex,Picea,"","","",0,0,0,0,Site29_Concarneau,0.392342609679
S30,10 - 30,89,47.6413882,-2.9570603,Rural,Fagus,Picea,Pinus,Castanea,Quercus,"","","",61,1,31,1,Site30_Morbihan,0.256112680162
S30,30 - 60,26,47.6413882,-2.9570603,Rural,Fagus,Picea,Pinus,Castanea,Quercus,"","","",61,1,27,1,Site30_Morbihan,0.256112680162
S30,60 - 90,2,47.6413882,-2.9570603,Rural,Fagus,Picea,Pinus,Castanea,Quercus,"","","",61,1,3,1,Site30_Morbihan,0.256112680162
S30,90+,0,47.6413882,-2.9570603,Rural,Fagus,Picea,Pinus,Castanea,Quercus,"","","",0,0,0,0,Site30_Morbihan,0.256112680162
S31,10 - 30,35,47.0080376,-2.2215573,Rural,Quercus ilex,Quercus robur,Ilex,Robinia,Pinus,Arbutus,Crataegus,"",127,2,27,1,Site31_Noirmoutier,0.0924174582471
S31,30 - 60,14,47.0080376,-2.2215573,Rural,Quercus ilex,Quercus robur,Ilex,Robinia,Pinus,Arbutus,Crataegus,"",127,2,81,2,Site31_Noirmoutier,0.0924174582471
S31,60 - 90,3,47.0080376,-2.2215573,Rural,Quercus ilex,Quercus robur,Ilex,Robinia,Pinus,Arbutus,Crataegus,"",127,2,14,1,Site31_Noirmoutier,0.0924174582471
S31,90+,1,47.0080376,-2.2215573,Rural,Quercus ilex,Quercus robur,Ilex,Robinia,Pinus,Arbutus,Crataegus,"",127,2,5,1,Site31_Noirmoutier,0.0924174582471
S32,10 - 30,166,46.7133222,-2.3719248,Rural,Quercus ilex,Crataegus,"","","","","","",0,0,0,0,Site32_Ile_d'Yeu,0.25824763378
S32,30 - 60,25,46.7133222,-2.3719248,Rural,Quercus ilex,Crataegus,"","","","","","",0,0,0,0,Site32_Ile_d'Yeu,0.25824763378
S32,60 - 90,3,46.7133222,-2.3719248,Rural,Quercus ilex,Crataegus,"","","","","","",0,0,0,0,Site32_Ile_d'Yeu,0.25824763378
S32,90+,2,46.7133222,-2.3719248,Rural,Quercus ilex,Crataegus,"","","","","","",2,1,2,1,Site32_Ile_d'Yeu,0.25824763378
S33,10 - 30,47,46.718419,-2.3561117,Rural,Quercus ilex,Quercus robur,Ilex,"","","","","",27,2,5,1,Site33_Ile_d'Yeu,0.251172306182
S33,30 - 60,25,46.718419,-2.3561117,Rural,Quercus ilex,Quercus robur,Ilex,"","","","","",27,2,11,1,Site33_Ile_d'Yeu,0.251172306182
S33,60 - 90,5,46.718419,-2.3561117,Rural,Quercus ilex,Quercus robur,Ilex,"","","","","",27,2,11,2,Site33_Ile_d'Yeu,0.251172306182
S33,90+,1,46.718419,-2.3561117,Rural,Quercus ilex,Quercus robur,Ilex,"","","","","",0,0,0,0,Site33_Ile_d'Yeu,0.251172306182
S34,10 - 30,97,46.5707033,-1.826879,Rural,Robinia,Quercus ilex,Quercus robur,Crataegus,"","","","",0,0,0,0,Site34_Sables_d'Olonne,0.479760719174
S34,30 - 60,74,46.5707033,-1.826879,Rural,Robinia,Quercus ilex,Quercus robur,Crataegus,"","","","",0,0,0,0,Site34_Sables_d'Olonne,0.479760719174
S34,60 - 90,9,46.5707033,-1.826879,Rural,Robinia,Quercus ilex,Quercus robur,Crataegus,"","","","",0,0,0,0,Site34_Sables_d'Olonne,0.479760719174
S34,90+,3,46.5707033,-1.826879,Rural,Robinia,Quercus ilex,Quercus robur,Crataegus,"","","","",1,1,1,1,Site34_Sables_d'Olonne,0.479760719174
S35,10 - 30,164,46.1851477,-1.3560716,Rural,Pinus nigra,Quercus ilex,"","","","","","",8,3,1,1,Site35_Ile_de_Re,0.617341601499
S35,30 - 60,79,46.1851477,-1.3560716,Rural,Pinus nigra,Quercus ilex,"","","","","","",8,3,1,1,Site35_Ile_de_Re,0.617341601499
S35,60 - 90,7,46.1851477,-1.3560716,Rural,Pinus nigra,Quercus ilex,"","","","","","",0,0,0,0,Site35_Ile_de_Re,0.617341601499
S35,90+,1,46.1851477,-1.3560716,Rural,Pinus nigra,Quercus ilex,"","","","","","",8,3,6,1,Site35_Ile_de_Re,0.617341601499
S36,10 - 30,165,45.9862316,-1.2783358,Rural,Pinus,"","","","","","","",0,0,0,0,Site36_Ile_d'Oleron,0.172508902596
S36,30 - 60,2,45.9862316,-1.2783358,Rural,Pinus,"","","","","","","",0,0,0,0,Site36_Ile_d'Oleron,0.172508902596
S36,60 - 90,0,45.9862316,-1.2783358,Rural,Pinus,"","","","","","","",0,0,0,0,Site36_Ile_d'Oleron,0.172508902596
S36,90+,0,45.9862316,-1.2783358,Rural,Pinus,"","","","","","","",0,0,0,0,Site36_Ile_d'Oleron,0.172508902596
